course,description,level,rate,language
business english: capstone project,"The capstone project will give you opportunities to demonstrate your competence in the learning objectives for this Specialization. For the project, you’ll use formal, written methods and more casual visual and audio methods of communication to demonstrate your ability to use language appropriate for different business contexts. The goal of this course is to demonstrate competence in writing and presenting a plan using skills and language appropriate for business.

Course Learning Objectives
•	Use appropriate vocabulary to write a mini business plan
•	Communicate a business plan orally in an organized and engaging presentation",Intermediate Level,4.6,English
digital transformation,"Digital transformation is a hot topic--but what exactly is it and what does it mean for companies? In this course, we talk about digital transformation in two ways. First we discuss the pace of change and the imperative it creates for businesses. Next we provide the context for this transformation and what it takes to win in the digital age. Then we walk through BCG's proprietary framework, which helps you identify key areas to digitize, including strategy, core processes, and technology.

By the end of this course, you'll be able to:
--describe the underlying economics of innovation, technology, and market disruptions
--weigh the pros and cons of current digital technologies driving advancement
--utilize BCG's digital transformation framework as a """"how-to"""" for digitizing your organization",Mixed Level,4.8,English
project execution,"Project Execution has many challenges and a good project must learn how to execute projects and adjust to changes that may derail your project plans in the traditional and agile project management environments. In this course, the student will define direct and manage project work and knowledge.

By the end of this course, you will be able to: 
- Direct and manage project work by preparing proactively for changes that lead to adjusting and re-planning your projects to success.
- Conduct project execution according to project plans in both the traditional and Agile project management environments and effectively manage resources throughout project execution.",Mixed Level,4.3,English
digital product management: modern fundamentals,"Not so long ago, the job of product manager was about assessing market data, creating requirements, and managing the hand-off to sales/marketing. Maybe you’d talk to a customer somewhere in there and they’d tell you what features they wanted. But companies that manage product that way are dying.

Being a product person today is a new game, and product managers are at the center of it. Today, particularly if your product is mostly digital, you might update it several times a day. Massive troves of data are available for making decisions and, at the same time, deep insights into customer motivation and experience are more important than ever. The job of the modern product manager is to charter a direction and create a successful working environment for all the actors involved in product success.  It’s not a simple job or an easy job, but it is a meaningful job where you’ll be learning all the time. 

This course will help you along your learning journey and prepare you with the skills and perspective you need to:

Create the actionable focus to successfully manage your product (week 1)
Focus your work using modern product management methods (week 2)
Manage new products and explore new product ideas (week 3)
Manage and amplify existing products (week 4)

This course is ideal for current product or general  managers interested in today's modern product management methods.

This course was developed with the generous support of the Batten Institute at UVA’s Darden School of Business. The Batten Institute’s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.",Mixed Level,4.7,English
fundamentals of quantitative modeling,"How can you put data to work for you? Specifically, how can numbers in a spreadsheet tell us about present and past business activities, and how can we use them to forecast the future? The answer is in building quantitative models, and this course is designed to help you understand the fundamentals of this critical, foundational, business skill. Through a series of short lectures, demonstrations, and assignments, you’ll learn the key ideas and process of quantitative modeling so that you can begin to create your own models for your own business or enterprise. By the end of this course, you will have seen a variety of practical commonly used quantitative models as well as the building blocks that will allow you to start structuring your own models. These building blocks will be put to use in the other courses in this Specialization.",Mixed Level,4.6,English
management of fashion and luxury companies,"Learn how fashion and luxury companies work and understand their brands, products, retail, and communication strategies. Travel through business models, international development, and product categories with industry influent experts.

Adopting a case-study approach, the course presents strategic brand management in luxury and fashion companies as a balancing act: tradition vs. innovation, expertise vs. experimentation, casual vs. stylish; in order to increase the brand value by nurturing the brand heritage and at the same time staying fresh, relevant, and contemporary in the global marketplace. 

Topics such as the impact of new retail channels, new media channels, and new business declinations for the brand and emerging markets will be discussed in the course.",Mixed Level,4.7,English
finance for non-finance professionals,"This short course surveys all the major topics covered in a full semester MBA level finance course, but with a more intuitive approach on a very high conceptual level.  The goal here is give you a roadmap and framework for how financial professional make decisions.  

We will cover the basics of financial valuation, the time value of money, compounding returns, and discounting the future.  You will understand discounted cash flow (DCF) valuation and how it compares to other methods.  We also step inside the mind of a corporate financial manager and develop the basic tools of capital budgeting.  We will survey the how, when, and where to spend money, make tradeoffs about investment, growth, dividends, and how to ensure sound fiscal discipline.  Our journey then turns to a Wall Street or capital markets perspective of investments as we discuss the fundamental tradeoff between risk and return.  We then synthesize our discussion of risk with our valuation framework and incorporate it into series of direct applications to practice.

This course requires no prior familiarity with finance.  Rather, it is intended to be a first step for anyone who is curious about understanding stock markets, valuation, or corporate finance.  We will walk through all of the tools and quantitative analysis together and develop a guide for understanding the seemingly complex decisions that finance professionals make.  

By the end of the course, you will develop an understanding of the major conceptual levers that push and pull on financial decision making and how they relate to other areas of business.  The course should also serve as a roadmap for where to further your finance education and it would be an excellent introduction of any students contemplating an MBA or Finance concentration, but who has little background in the area.",Beginner Level,4.8,English
forensic accounting and fraud examination,"Everyday across the world, thousands of businesses are victimized by fraud.  Who commits these bad acts?  Why? And, how? In this course we are going to help you answer the questions: who commits fraud, why and how.  We’ll also help you develop skills for catching them.",Mixed Level,4.7,English
creativity toolkit i: changing perspectives,"Thinking and doing the same things faster and better is not enough; we need creativity. Fortunately, creativity is a skill you can learn. This course will examine when, why, and how we can be creative. It examines the cues that trigger us to consider being creative. It provides a road map of the creative process – the process of changing our perspectives – and the kinds of outcomes that result from creativity. It examines how we can go through the creative process more efficiently and more effectively by examining what is changing about our thinking and how we can make those changes. The end result is more flexible thinking that can be used to recognize and develop new opportunities.",Mixed Level,4.7,English
entrepreneurship 1: developing the opportunity,"How does a good idea become a viable business opportunity? What is entrepreneurship and who fits the profile of an entrepreneur? This introductory course is designed to introduce you to the foundational concepts of entrepreneurship, including the definition of entrepreneurship, the profile of the entrepreneur, the difference between entrepreneurship and entrepreneurial management, and the role of venture creation in society. You’ll explore where technology entrepreneurship and impact entrepreneurship align and where they diverge, and you’ll learn proven techniques for identifying the opportunity, assessing the opportunity, hypothesis testing and creating a prototype.
By the end of this course, you’ll know how to test, validate and prototype your idea, and also whether or not you fit the profile of an entrepreneur! You’ll also be ready to move on to the next phase of entrepreneurship in Entrepreneurship 2: Launching the Start-Up.",Mixed Level,4.8,English
"advanced valuation and strategy - m&a, private equity, and venture capital","Hi and welcome to this course! 

Would you like to learn about the latest valuation methods that may help you to make better business decisions? Then 'Advanced Valuation and Strategy – M&A, Private Equity, and Venture Capital' by Erasmus University Rotterdam is the right course for you! This course is helpful for executives that need to value complete strategies and for all students interested in corporate finance and strategy. We present the latest tools and show you how to apply them!

We will revolutionize your way of decision making, by extending static techniques from corporate finance with dynamic methods to quantify strategic thinking. Traditionally, we assess the attractiveness of an investment as a mature business, where future cash flows mainly result from past decisions. But, in an ever-changing world, strategic decisions determine the firm’s long-term success and market value. Yet managers often have to consider these long-term implications using intuition and experience alone, with little guidance from structured, quantitative analysis.

Our treatment goes far beyond the use of standard valuation analysis. We introduce the expanded NPV, which brings together DCF, real options, and game theory. Thinking in terms of options, games, and adaptive strategies may help managers address strategic questions such as: How do you value a leveraged buyout? How can you value a high-tech venture with negative cash flows? When should you invest in new ventures in stages? How can you incorporate rival bidders in the analysis?

The tools we provide can improve your decisions in business and in daily life.

* Who is this class for?
We hope that our course appeals to (graduate) students in finance, economics, and business, as well as to high-ranking professionals and a general audience. This course is particularly interesting for venture capitalists, private equity investors, investment bankers, CEOs, CFOs, and those who aspire these affiliations. We offer this MOOC at 3 levels:

1.Executive Summary: 
This 1-week module provides critical insights into the principles of corporate valuation and strategy. This is accessible for time-constrained executives and the general audience without any prior knowledge.

2. Student Level:
This level involves an understanding of the technical details.  This level requires basic knowledge of concepts in corporate finance, e.g., the time value of money, financial statement analysis, capital structure, and the relation between risk and returns. Learners of this level can skip week 1.

3. Honors Level (honors certificate): 
This level is challenging, engaging, and compelling to an intellectually rigorous student.",Advanced Level,4.9,English
construction project management,"Construction Project Management introduces you to Project Initiation and Planning. Industry experts join Columbia University professor, Ibrahim Odeh, to give an overview of the construction industry. 

Professor Odeh teaches the fundamentals of the Project Development Cycle while guest lecturers discuss Lean Project Delivery method and Lean Design Behaviors. 

Technological advances, such as Building Information Modeling, will be introduced with real world examples of the uses of BIM during the Lifecycle of the Project. The course concludes with Professor Odeh discussing the importance of project planning and scheduling and an opportunity to develop a Work Breakdown Structure.",Beginner Level,4.8,English
supply chain logistics,"Have you ever wondered how goods get delivered to us so quickly as soon as we order them? One word: Logistics! In this introductory Supply Chain Logistics course, I will take you on a journey to this fascinating backbone of global trade. We cover the three major building blocks of logistics networks: transportation, warehousing, and inventory. After completing this course, you will be able to differentiate the advantages and disadvantages of different modes of transportation. You will understand what goes into designing and setting up a warehousing facility. Finally, you will be able to select the options that enable you to develop logistics networks, that minimize costs and deliver top customer service. This is an introductory course designed to provide you with a start on your learning journey in logistics. You do not need to have any background in logistics, but it would be beneficial if you had a basic understanding of business concepts. Join me and we will learn together about logistics!",Beginner Level,4.7,English
entrepreneurship strategy: from ideation to exit,"This course covers in the chronological order each defining step of an entrepreneurial project. It begins with very personal considerations related to getting to better know yourself better so as to decide if you are ready for the multiple challenges of entrepreneurship. It then deals with creativity in order to provide the right set of tools to find an idea with the right potential to disrupt an existing business. We then discuss how to gather a founding team, how to raise money to initiate the project, and how to deal with day to day cash management. Later in the course, we discuss the art of selling, focusing on business to business sales, and how to measure the product launch phase using cohort analysis. Later on, we discuss the challenges of HR in an entrepreneurial environment, and of recruiting at a point where nobody knows your company. We then describe very practical techniques to initiate the international development of a small company. Last, we cover the exit strategy topic.",Beginner Level,4.8,English
the manager's toolkit: a practical guide to managing people at work,"The aim of this course is to give you a practical guide to managing people at work. It does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. In the course you will engage with some HR theories and then see how they translate into every day working life. 

At the end of the course we hope you will be better equipped to choose a suitable employee, to motivate and appraise your team, to manage conflict in the work place and to lead and make decision on a day to day basis.",Mixed Level,4.6,English
organizational analysis,"In this introductory, self-paced course, you will learn multiple theories of organizational behavior and apply them to actual cases of organizational change.

Organizations are groups whose members coordinate their behaviors in order to accomplish a shared goal. They can be found nearly everywhere in today’s society: universities, start-ups, classrooms, hospitals, non-profits, government bureaus, corporations, restaurants, grocery stores, and professional associations are some of many examples of organizations.

Organizations are as varied and complex as they are ubiquitous: they differ in size and internal structure; they can entail a multiplicity of goals and tasks (some of which are planned and others unplanned!); they are made up of individuals whose goals and motivations may differ from those of the group; and they must interact with other organizations and deal with environmental constraints in order to be successful. This complexity frequently results in a myriad of problems for organizational participants and the organization’s survival.

In this course, we will use organizational theories to systematically analyze how an organization operates and can best be managed. Organizational theories highlight certain features of an organization’s structure and environment, as well as its processes of negotiation, production, and change. Each provides a lens for interpreting novel organizational situations and developing a sense for how individual and group behaviors are organized. Theories are valuable for the analyst and manager because most organizational problems are unique to the circumstances and cannot be solved by simple rules of thumb. Armed with a toolset of organizational theories, you will be able to systematically identify important features of an organization and the events transforming it; choose a theoretical framework most applicable to the observed mode of organizing; and use that theory to determine which actions will best redirect the organization in desired directions.

In sum, the course has three goals: to become familiar with a series of real-world organizational phenomena; to learn different theoretical perspectives that can elucidate these phenomena; and to apply these different ways of “seeing” and managing organizations to cases. In such a fashion, the course is designed to actively bridge theory and practice, exposing students to a variety of conceptual tools and ways to negotiate novel situations.",Beginner Level,4.7,English
corporate strategy,"In this course you will learn how organizations create, capture, and maintain value, and how it is fundamental for sustainable competitive advantage. You will be able to better understand economic value creation and value appropriation, and learn the tools to analyze both competition and cooperation from a corporate level perspective, (e.g., through vertical integration, diversification, and geographic scope decisions). 

You will:
•	Understand how corporations create, capture, and sustain competitive advantage.
•	Analyze business situations and create a coherent corporate strategy.
•	Understand the fit between corporate strategy and organization structure to improve economic performance.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.5,English
behavioral finance,"We make thousands of decisions every day. Do I cross the road now, or wait for the oncoming truck to pass? Should I eat fries or a salad for lunch? How much should I tip the cab driver? We usually make these decisions with almost no thought, using what psychologists call “heuristics” – rules of thumb that enable us to navigate our lives. Without these mental shortcuts, we would be paralyzed by the multitude of daily choices. But in certain circumstances, these shortcuts lead to predictable errors – predictable, that is, if we know what to watch out for. Did you know, for example, that we are naturally biased towards selling investments that are doing well for us, but holding on to those that are doing poorly? Or that we often select sub-optimal insurance payment plans, and routinely purchase insurance that we don’t even need? And why do so many of us fail to enroll in our employer’s corporate retirement plans, even when the employer offers to match our contributions?

Behavioral finance is the study of these and dozens of other financial decision-making errors that can be avoided, if we are familiar with the biases that cause them. In this course, we examine these predictable errors, and discover where we are most susceptible to them. This course is intended to guide participants towards better financial choices. Learn how to improve your spending, saving, and investing decisions for the future.",Mixed Level,4.4,English
international organizations management,"This course provides an introduction to International Organizations and the United Nations, and explores how business and management tools can be applied in these settings to achieve better, more effective results. With a focus on cross-sector partnerships in a changing world, the course offers you insights into the inner workings of international organizations and the challenges they face today. It will introduce you to effective, state-of-the art management tools and principles to help you lead change in this world – taught by senior staff of international organizations themselves. 

This is an introductory course offered by the International Organizations MBA (IO-MBA) of the University of Geneva, an executive program for change-makers in international organizations, NGOs and social ventures.",Beginner Level,4.8,English
designing the organization: from strategy to organizational structure,"In this course you will understand how firms are organized, what factors must be taken into account in making critical design decisions, and what role managers play in making these choices. In order to answer these questions, we will first develop a conceptual process model that links business models, external and internal contingencies, and organizational design. Second, we will focus on the fundamental principles of organization design and what alternative design choices are available for managers. Finally, we will apply these concepts and ideas to organizational situations to develop the critical insights and decision making skills to build effective organizations.
 
Learners:
•	Will understand how managers create value through their organizations
•	Will have a good understanding of the fundamental principles and factors important to organizational design
•	Will be able to design the coordination, control, and performance measurement systems to manage an organization.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.5,English
diversity and inclusion in the workplace,"Diversity is a fact. It is also paradoxical. We need to be capable of seeing and hearing differences in order to reap the benefits of diversity. But seeing and hearing differences hone our discriminating reflexes and can also lead to discrimination. If you take this MOOC, you will: 1. understand this paradox, 2. understand its dynamics, and 3. identify ways to manage it, so that you can better channel the diversity potential in the workplace for greater performance and innovation.",Beginner Level,4.7,English
strategic innovation: building and sustaining innovative organizations,"Innovation strategy is about creating unique value for consumers by delivering a great product that satisfies their needs and capturing value back from consumers.

At the core of a successful innovation strategy is a great product concept. Product is an all-encompassing term that includes physical goods, intangible services, and even ideas. There are three pillars to a successful product strategy: a clear understanding of (a) the target customers (WHO), (b) the specific elements of the product offering (WHAT) that satisfies consumer needs and dovetails with company capabilities, and (c) the tactical plans to reach end consumers (HOW). The value proposition has to be embedded in a coherent business model in order to create and capture value. But well-laid innovation plans can go awry without a consideration of the business ecosystem that includes competitors, collaborators, including suppliers, distributors, and retailers, or the contextual environment in which the company operates. In an interdependent world, fostering an integrated ecosystem is critically important for companies interested in maximizing the odds of innovation success.

Drawing from many years of research, this course will offer a set of frameworks, tools, and concepts in order to develop innovative strategies in a holistic way so as to achieve leadership positions.",Mixed Level,4.8,English
introduction to corporate finance,"This course provides a brief introduction to the fundamentals of finance, emphasizing their application to a wide variety of real-world situations spanning personal finance, corporate decision-making, and financial intermediation. Key concepts and applications include: time value of money, risk-return tradeoff, cost of capital, interest rates, retirement savings, mortgage financing, auto leasing, capital budgeting, asset valuation, discounted cash flow (DCF) analysis, net present value, internal rate of return, hurdle rate, payback period.",Mixed Level,4.6,English
introduction to search engine optimization,"Ever wonder how major search engines such as Google, Bing and Yahoo rank your website within their searches? Or how content such as videos or local listings are shown and ranked based on what the search engine considers most relevant to users? Welcome to the world of Search Engine Optimization (SEO). This course is the first within the SEO Specialization and it is intended to give you a taste of SEO. 

You will be introduced to the foundational elements of how search engines work, how the SEO landscape has changed and what you can expect in the future. You discuss core SEO strategies and tactics used to drive more organic search results to a specific website or set of websites, as well as tactics to avoid to prevent penalization from search engines. You will also discover how to position yourself for a successful career in SEO should this subject prove interesting to you. We hope this taste of SEO, will entice you to continue through the Specialization.",Mixed Level,4.6,English
innovation management,"What is innovation management? How do firms bring in new business models and get new products and services to the market? Go on a nine-week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this MOOC in Innovation Management. In it, you will also learn the tools for implementing innovation projects yourself. 

Guided by world-class academics, you will develop an innovative mindset and expertise in how firms successfully create new ideas for marketing new products. The syllabus also includes sessions about innovation strategy, idea management and social networks.

During this course, you will learn how to:
•	use the main innovation management terminology and concepts
•	explain the adoption life cycle and innovation adoption at the individual level
•	define creativity and explain how creativity can be stimulated
•	recognise and describe three types of idea management systems
•	explain what an innovation strategy is and why it is important
•	describe what a product portfolio is 
•	explain how innovation projects should be selected and managed
•	explain the importance of teams, team structures and networks for innovation.

Rotterdam School of Management, Erasmus University (RSM) is one of Europe’s leading business schools, and ranked among the top three for research. RSM’s primary focus is on developing business leaders with international careers who carry their innovative mindset into a sustainable future. Go to www.rsm.nl for more information.

This nine-week MOOC in Innovation Management is taught in English. There is no fee to participate in the programme.",Beginner Level,4.6,English
what is compliance?,"Compliance isn’t only about preventing problems and ensuring that everyone is abiding by laws, rules, and regulations.  It’s also about the positive impact a robust and ethical compliance program can have on a business or organization.

In this course we will discuss why compliance is important – from the needs facing businesses in highly regulated industries to avoiding fines and penalties to preventing reputational and economic nightmares. We’ll examine real-world examples of compliance and governance failures and their impact, and consider strategies for avoiding similar situations in our own organizations. You’ll be able to think about risk management in new ways and apply strategies to manage it.",Mixed Level,5,English
global impact: cultural psychology,"Globalization has brought dramatic changes to the marketplace. A proliferation of global brands brings diverse cultures to a consumer population that is also growing culturally diverse. This course enables students to understand how globalization changes consumers at a psychological level, and provides tools for imbuing brands with cultural meanings—creating iconic brands—that can resonate with global consumers. The focus is on understanding that culture exists in the mind (e.g., values and beliefs) as well as in the environment (e.g., objects, brands, and institutions), and that globalization creates multi-cultural spaces in contemporary societies. Consumers can use the cultural meaning of a brand to build their identities (i.e., assimilate the brand cultural symbolism) or reject the brand’s cultural meaning(s) (i.e., exclusionary reactions).

The course will help students identify when assimilation vs. exclusionary reactions are more likely to occur, as well as devise strategies for imbuing brands with cultural meanings that can elevate them to the status of cultural icons. 

Upon successful completion of this course, you will be able to:
•	Understand how globalization impacts the psychological responses of consumers in global markets 
•	Understand what culture is and how it manifests itself 
•	Understand how brands acquire cultural meanings 
•	Predict consumers’ responses to the cultural meanings in brands 
•	Identify strategies to win-over multi-cultural consumers in globalized markets 
•	Learn how to build an iconic brand

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.7,English
financing and investing in infrastructure,"Learn how debt and equity can be used to finance infrastructure investments and how investors approach infrastructure investments! 

According to the OECD, the global infrastructure investment requirement by 2030 for transport, electricity generation, transmission & distribution, and water & telecommunications totals to 71 trillion dollars. This figure represents about 3.5% of the annual World GDP from 2007 to 2030.

The European Commission estimated, that by 2020, Europe will need between 1.5 - 2 trillion Euros in infrastructure investments. Between 2011 and 2020, about 500 billion Euros will be required for the implementation of the Trans-European Transport Network (TEN-T) program, 400 billion Euros for Energy distribution networks and smart grids, 200 billion Euros on Energy transmission networks and storage, and 500 billion Euros for the upgrade and construction of new power plants. An additional 38 - 58 billion Euros and 181 - 268 billion Euros in capital investment will be needed to achieve the targets set by the European Commission for broadband diffusion.

Traditionally investments in infrastructure were financed using public sources. However, severe budget constraints and inefficient management of infrastructure by public entities have led to an increased involvement of private investors in the business. 

The course focuses on how private investors approach infrastructure projects from the standpoint of equity, debt, and hybrid instruments. 

The course concentrates on the practical aspects of project finance: the most frequently used financial techniques for infrastructure investments. The repeated use of real life examples and case studies will allow students to link the theoretical background to actual business practices.

In the end of the course, students will be capable of analyzing a complex transaction, identifying the key elements of a deal, and suggesting proper solutions for deal structuring from a financial advisor's perspective.

Course Format
The course will consist of lecture videos, readings, and talks given by guest speakers. Although we do hope you will attend the entire course, it is possible to just focus on single topics.

Suggested Readings
The course is designed to be self-contained, there are no obligatory readings that must be acquired outside of the course. 
For students interested in additional study material, you may refer to:
•	Gatti Stefano, ""Project Finance in theory and practice"", Academic Press, 2nd edition, 2012.",Mixed Level,4.8,English
investment management in an evolving and volatile world by hec paris and axa investment managers,"Have you ever wanted to invest in financial markets, but were always afraid that you didn’t have the proper tools or knowledge to make informed decisions? Have you ever wondered how investment management companies operate and what fund managers do? AXA Investment Managers, in partnership with HEC Paris, will introduce you to the most important ideas and concepts in investment management, to help you better understand your financial future.

This course will enable you to:
•	Define what type of investor you are, your investment objectives, and potential constraints. 
•	Identify the main investable assets and important players in financial markets. 
•	Understand basic portfolio management techniques. 
•	Apply these techniques in real case studies from the outset, through practical assessments. 

Finally, we will provide a comprehensive overview of today's asset management industry: the product cycles, professionals, and regulations. For those who want to identify a talented fund manager to invest for you, we offer important criteria for selecting one. For those who are interested in learning more about this fascinating industry, we lay the foundation for your ongoing financial journey. Join us now to explore the world of investment management! 

Course Specialists
The course has been developed in collaboration between HEC Paris, with Hugues Langlois managing the academic aspect, and AXA Investment Managers specialists, sharing their experiences and expertise and coordinated by Marion Le Morhedec. AXA Investment Managers participants include Maxime Alimi, Stephanie Condra, Nicholas Jeans, Elodie Laugel, Pierre-François de Mont-Serrat, Jean-Gabriel Pierre (AXA Group), Dorothée Sauloup, Irina Topa-Serry, Fiona Southall, Patrice Viot Coster, Susanna Warner, and Joachim Weitgasser.

Recommended Background
We expect most participants to have a basic level of knowledge in mathematics and economics. However this is not essential, and we believe that people from any background can succeed with commitment and a strong interest.
Be aware that in the case study, you will have to use Excel.

Course Format 
This course will run for 4 weeks and consists of 4 modules, each with a series of lecture videos between 5 to 8 minutes long. Each module contains a set of practice and graded quiz questions. A complete portfolio management exercise covers concepts learned in all modules

Language
The course is in English, with Spanish, Italian, German, French, and Chinese (Simplified) subtitles.

The Project
The preparation of this MOOC has been an exciting adventure for many professionals at AXA Investment Managers and HEC, both for the speakers and a wealth of contributors. Thank you to all of them.
We hope you enjoy this course as much as we enjoyed creating it!",Intermediate Level,4.5,English
digital competition in financial services,"Welcome to Digital Transformation Strategy! As you probably know, this is the first course in a three part specialization focused on the digital transformation of finance. We'll aim to bring you insights about how digitalization intersects with finance, culled from one of the world's top regions for digital innovation. I'm excited to have you in the class and look forward to helping you learn more about this important topic.

To begin, I recommend taking a few minutes to explore the course site. A good place to start is the navigation bar on the left. Click Course Content to see what material we’ll cover each week, as well preview the assignments you’ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class. Be sure to introduce yourself to everyone in the Meet and Greet forum!

This course should take about four weeks to complete. You can check out the recommended course schedule below to see a quick overview of the lessons and assignments you’ll complete each week.

By the time you finish this course, you’ll have mastered the transformational forces of digitalization and the new competitive dynamics it gives rise to, learned from leading financial companies and seen inspirational examples from the digital masters. You'll be introduced to the Capstone Project for the specialization and have a chance to form some preliminary solutions for a financial company seeking a new strategy for the digital age of finance.

Good luck as you get started. I look forward to seeing you in class!",Beginner Level,4.6,English
managing the company of the future,The aim of the course is to provide you with a comprehensive framework for understanding both the traditional principles of management inside companies today as well as the alternative principles that are becoming increasingly important. It provides both theoretical and practical perspectives on the nature of management in today’s organisations.,Mixed Level,4.8,English
corporate sustainability. understanding and seizing the strategic opportunity,"The achievement of a balanced economic, social and environmental development - as expressed in the UN Agenda 2030 for Sustainable Development - is recognized as one of the major challenges humanity is facing today. What is less clear is whether and how organizations can generate business opportunities and value for their stakeholders while tackling such challenges. 
In this course, thought leaders in a wide variety of management and economics fields illustrate how to assess and seize the opportunities offered by these global emergencies. They will offer new ways to understand the purpose and the logic of success of the business enterprise in this new context, providing ideas and examples on how to manage the transition process to realize the value creation potential from corporate sustainability for all involved stakeholders.

Learning objectives
The course will allow you to:
- Understand What the macroeconomic and microeconomic consequences of both climate changes, poverty, hunger, gender or race discriminations, lack of communication between the State, Civil Societies, and businesses, etc are.
- Understand Why it is important for businesses to tackle sustainability issues in order to create more and better business opportunities;
- Learn How each individual, organization and system can start to analyze its behaviors and change towards more sustainable practices and models.",Mixed Level,4.7,English
strategic management,"The world of business strategy is in transition. What used to work doesn't anymore -- not necessarily. 

This course prepares you to think strategically in an age when companies like Apple, Google, and Microsoft have become more valuable (in market cap terms) than companies like Exxon. Today, business value and competitive advantage arise more often from consumer perceptions of what is ""cool"" than from physical assets or economies of scale. 

In this course -- the first of a three-course specialization tailored specifically for the age of creativity and innovation -- you will gear up for the challenges of strategy formulation and implementation in a 21st century business. 

After taking the course, you'll be able to:
- Explain why ""doing"" strategy is considered ""the high point of managerial activity"" (Mintzberg);
- Recognize and avoid the old, tired ideas about strategy that are still out there, so you can adopt fresher, better ideas;
- Point out how doing strategy has changed because of advancing technology and globalization;
- Prepare for the Capstone Project for the Strategic Management and Innovation Specialization",Mixed Level,4.7,English
the fundamentals of hotel distribution,"In today’s hotel sector an increasingly complex network of traditional and web based channels have to be managed to insure hotel success. Key questions include: how should you distribute over the web? What should you include on your brand.com website so people book through it?  How can you maximise the potential of online travel agents (OTAs)?  With the distribution environment both highly complex and constantly evolving, this course will give you comprehensive foundation of current industry practices to help jump start your career in this fascinating domain.

Acknowledgements: Claire Bertrand, Vincent Chatain, Jessica Moses, Benjamin Six (ESSEC Business School), Emilie Dupré (Image-In), Gregory Halidy (Triplay)",Mixed Level,4.7,English
legal tech & startups,"LegalTech is the reaction to the disruption that technology is having across all sectors of the economy. Considering that the legal sector is one of the most resistant to change, due to its conservative nature, we can see just how different the future will be. In this course, IE professor Marti Manent will guide you through the essential stages of this disruption in technology, giving you the key tools and ideas to consider when starting your online business. 

In the course, Marti explains the key market trends that you will encounter and will provide you with a handy practical toolbox. The course features interviews with industry professionals as well as very motivating and interesting lectures that will help you open your mind and better understand everything in the course. Be part of this disruption that technology is having in the legal sector and join Professor Marti during this exciting new course.",Intermediate Level,4.5,English
renewable energy and green building entrepreneurship,"Welcome to the course where you learn to launch a new business in the energy, finance, real estate, design, engineering, or environmental sectors, while also helping you create positive environmental and human health impacts around the world.

We will integrate tools, trends, and tips from the field of entrepreneurship as a career path for making a difference and generating wealth in the renewable energy and green building sectors.

This is not a course about theory. Instead, we focus on real world application, step-by-step advice, and case studies.

After completing this course, students will be able to:

- Define key business opportunities, challenges, and potential solutions in the renewable energy and green building sectors.
- Analyze a successful business in renewable energy or green building.
- Identify 2 to 3 problems you might solve with either renewable energy or green building products or services. 
- Plan for engaging with investors who might finance a new business.
- Take real world first steps towards launching a new business or corporate initiative, by applying the 1-page business idea summary template and the Business Model Canvas to generating and refining your own new business ideas.",Beginner Level,4.6,English
entrepreneurship 2: launching your start-up,"Once you have a prototype and a clearer vision of the opportunity, you’ll need to create a small organization to discover how to create a repeatable and scalable business model. Designed to provide you with a comprehensive overview of the critical components of creating a start-up, Entrepreneurship 2: Launching the Start-up, provides practical, real-world knowledge about the lean approach, the minimum viable product, when to pivot, when to quit your day job, the art of the pitch, building and managing a team, allocating equity, and building your external team, advisory board members, professional services, and entrepreneurial strategy. At the end of this course, you’ll be able to create a strategy for launch, including knowing who you need to hire, how to manage them to provide the greatest value, and what legal aspects are involved. You’ll also be prepared for Entrepreneurship 3: Growth Strategies.",Mixed Level,4.8,English
